expid, time,best bid,best offer, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, best bid, best offer, 
0, 003000, 49, 240, PRSH, 23, 2, 11.500000, PRSH2, 277, 8, 34.625000, 49, 240, 
1, 003000, 39, 94, PRSH, 202, 2, 101.000000, PRSH2, 2168, 8, 271.000000, 39, 94, 
2, 003000, 45, 225, PRSH, 0, 2, 0.000000, PRSH2, 230, 8, 28.750000, 45, 225, 
3, 003000, 35, 169, PRSH, 0, 2, 0.000000, PRSH2, 300, 8, 37.500000, 35, 169, 
4, 003000, 41, 227, PRSH, 213, 2, 106.500000, PRSH2, 67, 8, 8.375000, 41, 227, 
5, 003000, 39, 130, PRSH, 75, 2, 37.500000, PRSH2, 445, 8, 55.625000, 39, 130, 
6, 003000, 50, 226, PRSH, 141, 2, 70.500000, PRSH2, 169, 8, 21.125000, 50, 226, 
7, 003000, 40, 139, PRSH, 52, 2, 26.000000, PRSH2, 628, 8, 78.500000, 40, 139, 
8, 003000, 47, 209, PRSH, 0, 2, 0.000000, PRSH2, 690, 8, 86.250000, 47, 209, 
9, 003000, 50, 189, PRSH, 53, 2, 26.500000, PRSH2, 567, 8, 70.875000, 50, 189, 
10, 003000, 38, 93, PRSH, 149, 2, 74.500000, PRSH2, 481, 8, 60.125000, 38, 93, 
11, 003000, 40, 196, PRSH, 126, 2, 63.000000, PRSH2, 494, 8, 61.750000, 40, 196, 
12, 003000, 47, 79, PRSH, 183, 4, 45.750000, PRSH2, 1177, 6, 196.166667, 47, 79, 
13, 003000, 46, 124, PRSH, 76, 4, 19.000000, PRSH2, 84, 6, 14.000000, 46, 124, 
14, 003000, 50, 174, PRSH, 487, 4, 121.750000, PRSH2, 193, 6, 32.166667, 50, 174, 
15, 003000, 46, 169, PRSH, 184, 4, 46.000000, PRSH2, 156, 6, 26.000000, 46, 169, 
16, 003000, 47, 299, PRSH, 109, 4, 27.250000, PRSH2, 281, 6, 46.833333, 47, 299, 
17, 003000, 44, 261, PRSH, 81, 4, 20.250000, PRSH2, 49, 6, 8.166667, 44, 261, 
18, 003000, 45, 53, PRSH, 855, 4, 213.750000, PRSH2, 5, 6, 0.833333, 45, 53, 
19, 003000, 40, 72, PRSH, 2669, 4, 667.250000, PRSH2, 1171, 6, 195.166667, 40, 72, 
20, 003000, 27, 93, PRSH, 351, 4, 87.750000, PRSH2, 1259, 6, 209.833333, 27, 93, 
21, 003000, 49, 301, PRSH, 256, 4, 64.000000, PRSH2, 544, 6, 90.666667, 49, 301, 
22, 003000, 29, 179, PRSH, 346, 4, 86.500000, PRSH2, 714, 6, 119.000000, 29, 179, 
23, 003000, 38, 163, PRSH, 534, 4, 133.500000, PRSH2, 26, 6, 4.333333, 38, 163, 
24, 003000, 50, 82, PRSH, 853, 6, 142.166667, PRSH2, 7, 4, 1.750000, 50, 82, 
25, 003000, 49, 248, PRSH, 99, 6, 16.500000, PRSH2, 651, 4, 162.750000, 49, 248, 
26, 003000, 50, 149, PRSH, 464, 6, 77.333333, PRSH2, 86, 4, 21.500000, 50, 149, 
27, 003000, 48, 229, PRSH, 172, 6, 28.666667, PRSH2, 438, 4, 109.500000, 48, 229, 
28, 003000, 36, 174, PRSH, 493, 6, 82.166667, PRSH2, 27, 4, 6.750000, 36, 174, 
29, 003000, 45, 239, PRSH, 279, 6, 46.500000, PRSH2, 61, 4, 15.250000, 45, 239, 
30, 003000, 47, 131, PRSH, 91, 6, 15.166667, PRSH2, 339, 4, 84.750000, 47, 131, 
31, 003000, 29, 168, PRSH, 270, 6, 45.000000, PRSH2, 560, 4, 140.000000, 29, 168, 
32, 003000, 35, 227, PRSH, 610, 6, 101.666667, PRSH2, 140, 4, 35.000000, 35, 227, 
33, 003000, 49, 128, PRSH, 499, 6, 83.166667, PRSH2, 461, 4, 115.250000, 49, 128, 
34, 003000, 45, 175, PRSH, 1477, 6, 246.166667, PRSH2, 253, 4, 63.250000, 45, 175, 
35, 003000, 36, 152, PRSH, 423, 6, 70.500000, PRSH2, 1097, 4, 274.250000, 36, 152, 
36, 003000, 47, 140, PRSH, 770, 8, 96.250000, PRSH2, 0, 2, 0.000000, 47, 140, 
37, 003000, 49, 78, PRSH, 2060, 8, 257.500000, PRSH2, 0, 2, 0.000000, 49, 78, 
38, 003000, 49, 169, PRSH, 340, 8, 42.500000, PRSH2, 0, 2, 0.000000, 49, 169, 
39, 003000, 41, 238, PRSH, 18, 8, 2.250000, PRSH2, 212, 2, 106.000000, 41, 238, 
40, 003000, 42, 142, PRSH, 493, 8, 61.625000, PRSH2, 17, 2, 8.500000, 42, 142, 
41, 003000, 38, 101, PRSH, 770, 8, 96.250000, PRSH2, 270, 2, 135.000000, 38, 101, 
42, 003000, 39, 139, PRSH, 267, 8, 33.375000, PRSH2, 73, 2, 36.500000, 39, 139, 
43, 003000, 49, 322, PRSH, 549, 8, 68.625000, PRSH2, 61, 2, 30.500000, 49, 322, 
44, 003000, 48, 97, PRSH, 4000, 8, 500.000000, PRSH2, 20, 2, 10.000000, 48, 97, 
45, 003000, 50, 148, PRSH, 472, 8, 59.000000, PRSH2, 58, 2, 29.000000, 50, 148, 
46, 003000, 46, 350, PRSH, 460, 8, 57.500000, PRSH2, 0, 2, 0.000000, 46, 350, 
47, 003000, 50, 138, PRSH, 860, 8, 107.500000, PRSH2, 10, 2, 5.000000, 50, 138, 
