expid, time,best bid,best offer, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, best bid, best offer
0,3000,31,35, GVWY,13272,10,1327.2, PRSH,10771,10,1077.1, SHVR,4060,10,406, ZIC,2273,10,227.3, ZIP,22170,10,2217,31,35, ,,,
1,3000,25,36, GVWY,17111,10,1711.1, PRSH,5726,10,572.6, SHVR,14191,10,1419.1, ZIC,6907,10,690.7, ZIP,11946,10,1194.6,25,36, ,,,
2,3000,31,38, GVWY,17797,10,1779.7, PRSH,8848,10,884.8, SHVR,13062,10,1306.2, ZIC,8644,10,864.4, ZIP,13741,10,1374.1,31,38, ,,,
3,3000,30,42, GVWY,17656,10,1765.6, PRSH,10277,10,1027.7, SHVR,18286,10,1828.6, ZIC,3717,10,371.7, ZIP,11026,10,1102.6,30,42, ,,,
4,3000,30,31, GVWY,15203,10,1520.3, PRSH,523,10,52.3, SHVR,15895,10,1589.5, ZIC,1982,10,198.2, ZIP,15126,10,1512.6,30,31, ,,,
5,3000,36,40, GVWY,9970,10,997, PRSH,7214,10,721.4, SHVR,5979,10,597.9, ZIC,4635,10,463.5, ZIP,21205,10,2120.5,36,40, ,,,
6,3000,25,37, GVWY,19773,10,1977.3, PRSH,575,10,57.5, SHVR,20839,10,2083.9, ZIC,4628,10,462.8, ZIP,15701,10,1570.1,25,37, ,,,
7,3000,31,38, GVWY,5108,10,510.8, PRSH,522,10,52.2, SHVR,15615,10,1561.5, ZIC,9155,10,915.5, ZIP,21955,10,2195.5,31,38, ,,,
8,3000,32,34, GVWY,17432,10,1743.2, PRSH,4579,10,457.9, SHVR,14302,10,1430.2, ZIC,6300,10,630, ZIP,15749,10,1574.9,32,34, ,,,
9,3000,33,41, GVWY,13609,10,1360.9, PRSH,2334,10,233.4, SHVR,17619,10,1761.9, ZIC,7286,10,728.6, ZIP,20122,10,2012.2,33,41, ,,,
10,3000,32,34, GVWY,16489,10,1648.9, PRSH,8286,10,828.6, SHVR,15787,10,1578.7, ZIC,2386,10,238.6, ZIP,8052,10,805.2,32,34, ,,,
11,3000,30,39, GVWY,26064,10,2606.4, PRSH,793,10,79.3, SHVR,17974,10,1797.4, ZIC,4162,10,416.2, ZIP,5787,10,578.7,30,39, ,,,
12,3000,26,33, GVWY,18409,10,1840.9, PRSH,4083,10,408.3, SHVR,8580,10,858, ZIC,3320,10,332, ZIP,18354,10,1835.4,26,33, ,,,
13,3000,33,34, GVWY,14871,10,1487.1, PRSH,635,10,63.5, SHVR,16201,10,1620.1, ZIC,5036,10,503.6, ZIP,16536,10,1653.6,33,34, ,,,
14,3000,30,38, GVWY,12779,10,1277.9, PRSH,4837,10,483.7, SHVR,17808,10,1780.8, ZIC,9070,10,907, ZIP,15716,10,1571.6,30,38, ,,,
15,3000,30,43, GVWY,17680,10,1768, PRSH,8333,10,833.3, SHVR,18304,10,1830.4, ZIC,2980,10,298, ZIP,14430,10,1443,30,43, ,,,
16,3000,38,41, GVWY,11886,10,1188.6, PRSH,3177,10,317.7, SHVR,20279,10,2027.9, ZIC,1532,10,153.2, ZIP,20134,10,2013.4,38,41, ,,,
17,3000,32,37, GVWY,9287,10,928.7, PRSH,6909,10,690.9, SHVR,27001,10,2700.1, ZIC,4629,10,462.9, ZIP,15492,10,1549.2,32,37, ,,,
