expid, time,best bid,best offer, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, best bid, best offer, 
0, 003600, 38, 41, PRSH, 1796, 8, 224.500000, ZIP, 4234, 2, 2117.000000, 38, 41, 
1, 003600, 42, 53, PRSH, 994, 8, 124.250000, ZIP, 316, 2, 158.000000, 42, 53, 
2, 003600, 40, 50, PRSH, 1210, 8, 151.250000, ZIP, 0, 2, 0.000000, 40, 50, 
3, 003600, 32, 51, PRSH, 3550, 8, 443.750000, ZIP, 0, 2, 0.000000, 32, 51, 
4, 003600, 39, 94, PRSH, 1510, 8, 188.750000, ZIP, 0, 2, 0.000000, 39, 94, 
5, 003600, 20, 50, PRSH, 3214, 6, 535.666667, ZIP, 6306, 4, 1576.500000, 20, 50, 
6, 003600, 39, 50, PRSH, 2957, 6, 492.833333, ZIP, 6143, 4, 1535.750000, 39, 50, 
7, 003600, 18, 153, PRSH, 5792, 6, 965.333333, ZIP, 10148, 4, 2537.000000, 18, 153, 
8, 003600, 39, 50, PRSH, 1840, 6, 306.666667, ZIP, 6480, 4, 1620.000000, 39, 50, 
9, 003600, 34, 41, PRSH, 3508, 6, 584.666667, ZIP, 2722, 4, 680.500000, 34, 41, 
10, 003600, 29, 40, PRSH, 7060, 4, 1765.000000, ZIP, 5230, 6, 871.666667, 29, 40, 
11, 003600, 20, 21, PRSH, 91, 4, 22.750000, ZIP, 349, 6, 58.166667, 20, 21, 
12, 003600, 25, 26, PRSH, 4386, 4, 1096.500000, ZIP, 4524, 6, 754.000000, 25, 26, 
13, 003600, 38, 52, PRSH, 3610, 4, 902.500000, ZIP, 5840, 6, 973.333333, 38, 52, 
14, 003600, 29, 31, PRSH, 60, 4, 15.000000, ZIP, 400, 6, 66.666667, 29, 31, 
15, 003600, 25, 26, PRSH, 7762, 2, 3881.000000, ZIP, 4398, 8, 549.750000, 25, 26, 
16, 003600, 28, 29, PRSH, 0, 2, 0.000000, ZIP, 370, 8, 46.250000, 28, 29, 
17, 003600, 29, 32, PRSH, 21, 2, 10.500000, ZIP, 319, 8, 39.875000, 29, 32, 
18, 003600, 30, 31, PRSH, 691, 2, 345.500000, ZIP, 3809, 8, 476.125000, 30, 31, 
19, 003600, 25, 26, PRSH, 9081, 2, 4540.500000, ZIP, 3129, 8, 391.125000, 25, 26, 
